scenario_id,bomb_count,verification_status,burst_times_s,coverage_lower_s,coverage_upper_s,total_exposure_lower_s,total_exposure_upper_s,maximum_continuous_exposure_s,joint_gain_s,q1_covered_duration_s,relative_q1_improvement_lower_s,runtime_s
q1_rebuild_front_d8000,2,certified_infeasible,"[5.5, 17.167318]",17.209294505133997,17.209294505133997,6.958414750000003,6.958414750000003,6.958414750000003,17.209294505133997,10.376134889753999,6.833159615379998,1.913598400016781
q1_rebuild_front_d10000,2,certified_infeasible,"[6.102957, 21.207775]",16.615300137744,16.615300137744,7.552409117389999,7.552409117389999,7.552409117389999,16.615300137744,10.376134889754,6.23916524799,1.1925862999632955
q1_rebuild_front_d12000,2,certified_infeasible,"[12.205914, 27.310732]",16.615300020353,16.615300020353,7.552409234780999,7.552409234780999,7.552409234780999,16.615300020353,10.376134889753999,6.239165130599002,1.20573670003796
q1_rebuild_front_d15000,2,certified_infeasible,"[21.360349, 36.465167]",16.615300299700998,16.615300299700998,7.552408955432998,7.552408955432998,7.552408955432998,16.615300299700998,10.376134889754002,6.239165409946995,1.2516891999985091
